Andhra Pradesh Police,,,
SN,item,count,ref_nos
1231,tadepalli mandal in guntur district. s. w: providing air cooling unit to the police barrack- i,1,NIT NO.111/SE/R&B/Elec/VJA/2016-2017                  Dated: 21.06.2016
1232,10- 14- 95 ) at garam garam hotel area,1,943/2015/E1
1233,in ward no. 11 in repalle municipality under 14th finance commission grant,1,943/2015/E1
1234,providing cc road in konduri vari street from yarlagadda police house ( d. no. 10- 14 ) to rk eye hospital ( d. no,1,943/2015/E1
1235,horizontal gantry including related infrastructure works for ap police department at melavaikonda in anantapur district. ( 9th call ),1,28/2022-23/CDT
1236,c/ o of 40 m narrow based light weight ground based tower foundation including dg plinth,1,28/2022-23/CDT
1237,tower material,1,28/2022-23/CDT
1238,plot no. 5 ( 171 m2 ) near marine police station ( fishing harbour ) for commercial purpose,1,IENG/Estate/Z-2 - Plot near marine police station
1239,allotment of land on long term lease ( annual lease rental basis ) of 30 years ( without renewal option ),1,IENG/Estate/Z-2 - Plot near marine police station
1240,on as is where is basis in zone z- 2,1,IENG/Estate/Z-2 - Plot near marine police station
1241,laying of cc drain from ntr statue ii town police station to ep no. d1/ 3/ 45,1,T.No.38/ADN/Mplty/General Funds/2017-18 Dt.09-10-2017
1242,d1/ 3/ 44 in dsp bunglow main road in e. w. no. 20 & e. w. no. 25 ( reach i ) under general funds 2017- 18,1,T.No.38/ADN/Mplty/General Funds/2017-18 Dt.09-10-2017
1243,maintenance of 03 nos 125 kva dg set at bhq 02 nos 10 kva dg set at each bops of naga neelapani pda mendi,1,NO.ITBP/12THBN/ENGG/2022-318
1244,01 no 10 kva dg set at sonam bop of 12th bn itb police matli ukd,1,NO.ITBP/12THBN/ENGG/2022-318
1245,chain link mesh for protection of green belt,1,Rc.No.EE3-146152/2017
1246,water supply,1,Rc.No.EE3-146152/2017
1247,leveling site with red earth,1,Rc.No.EE3-146152/2017
1248,providing foot path along apsrtc compound wall from kalika devi temple to krishna lanka police station site in 24th division,1,Rc.No.EE3-146152/2017
1249,construction of brick wall,1,Rc.No.EE3-146152/2017
1250,providing cctv surveillance,1,NIT NO.112/SE/R&B/Elec/VJA/2016-2017                  Dated: 21.06.2016
1251,tadepalli mandal guntur district. s. w: providing air cooling units to the police barracks ii & iii,1,NIT NO.112/SE/R&B/Elec/VJA/2016-2017                  Dated: 21.06.2016
1252,solar power fencing system to the lingamaneni guest house proposed for residence of hon  ble c. m of ap at undavalli village,1,NIT NO.112/SE/R&B/Elec/VJA/2016-2017                  Dated: 21.06.2016
1253,d improvements,1,CGM/PROJECTS&IPC/APSPDCL/TPT/SIP-65/2018-19
1254,connected lines at ac nager park,1,CGM/PROJECTS&IPC/APSPDCL/TPT/SIP-65/2018-19
1255,police quarters,1,CGM/PROJECTS&IPC/APSPDCL/TPT/SIP-65/2018-19
1256,system improvement project for erection of 3 nos. 33/ 11kv outdoor sub- stations with 1x5 mva ptr,1,CGM/PROJECTS&IPC/APSPDCL/TPT/SIP-65/2018-19
1257,kondayapalem in nellore municipal corporation of nellore district on semi- turnkey basis under t,1,CGM/PROJECTS&IPC/APSPDCL/TPT/SIP-65/2018-19
1258,7/ 75 to 23/ 8 in ward no. 3,1,MC/NDL/General No.165/2018-19
1259,cc drain from d. no. 23/ 60 to 23/ 55,1,MC/NDL/General No.165/2018-19
1260,7/ 52 to 7/ 58,1,MC/NDL/General No.165/2018-19
1261,7/ 7 to 7/ 381 ( 1 town police station back side ),1,MC/NDL/General No.165/2018-19
1262,providing cc road,2,"e-Proc.NIT No.927/43/E/TO/18-19, Dt.31-12-2018, S.No.66, MC/NDL/General No.165/2018-19"
1263,7/ 72- b to 23/ 66,1,MC/NDL/General No.165/2018-19
1264,police line colony ),2,"SECL/GM/KSM/CIVIL/ e-Tender/18-19/167 Dt 28/3/19, SECL/GM/KSM/CIVIL/ e-Tender/19-20/137 dt 27/11/19"
1265,from other nrbs at adarsh nagar,2,"SECL/GM/KSM/CIVIL/ e-Tender/18-19/167 Dt 28/3/19, SECL/GM/KSM/CIVIL/ e-Tender/19-20/137 dt 27/11/19"
1266,c/ 25 to c/ 105,2,"SECL/GM/KSM/CIVIL/ e-Tender/18-19/167 Dt 28/3/19, SECL/GM/KSM/CIVIL/ e-Tender/19-20/137 dt 27/11/19"
1267,daily collection of garbage from door to door of quarters ( b/ 61 to b/ 482,2,"SECL/GM/KSM/CIVIL/ e-Tender/18-19/167 Dt 28/3/19, SECL/GM/KSM/CIVIL/ e-Tender/19-20/137 dt 27/11/19"
1268,d/ 01 to d/ 26,2,"SECL/GM/KSM/CIVIL/ e-Tender/18-19/167 Dt 28/3/19, SECL/GM/KSM/CIVIL/ e-Tender/19-20/137 dt 27/11/19"
1269,nehru nagar colony of kusmunda area for two years,1,SECL/GM/KSM/CIVIL/ e-Tender/18-19/167 Dt 28/3/19
1270,cmpdil colony,2,"SECL/GM/KSM/CIVIL/ e-Tender/18-19/167 Dt 28/3/19, SECL/GM/KSM/CIVIL/ e-Tender/19-20/137 dt 27/11/19"
1271,maintenance of 03 nos 125 kva dg set at bhq,1,ITBP/12THBN/ENGR/ARM/2022-341
1272,( ukd ) for the year 2022- 23,1,ITBP/12THBN/ENGR/ARM/2022-341
1273,02 nos 10 kva dg set at each bops naga neelapani pda,1,ITBP/12THBN/ENGR/ARM/2022-341
1274,01 no 10 kva dg set at sonam bop of 12th bn itb police matli,1,ITBP/12THBN/ENGR/ARM/2022-341
1275,mendi,1,ITBP/12THBN/ENGR/ARM/2022-341
1276,nehru nagar colony of kusmunda area for two years. ( re,1,SECL/GM/KSM/CIVIL/ e-Tender/19-20/137 dt 27/11/19
1277,subwork: emergent repairs to the police barracks,1,"EE/R&B/GNT/66/2017-18, dt.22.11.2017"
1278,sentray posts,1,"EE/R&B/GNT/66/2017-18, dt.22.11.2017"
1279,toilets near camp residence of hon  ble chief minister of ap near undavalli in guntur dist,1,"EE/R&B/GNT/66/2017-18, dt.22.11.2017"
1280,providing permanent helipad for vvip  s near camp residence of hon  ble chief minister of ap at undavalli in guntur dist.,1,"EE/R&B/GNT/66/2017-18, dt.22.11.2017"
1281,5 nos. eicher dg sets,1,GM(M-S)/SO(EnM)/e-NIT/23-24/04
1282,including p. o. office,1,GM(M-S)/SO(EnM)/e-NIT/23-24/04
1283,fitment of dg filter parts for routine maintenance,1,GM(M-S)/SO(EnM)/e-NIT/23-24/04
1284,work of supply,1,GM(M-S)/SO(EnM)/e-NIT/23-24/04
1285,2 numbers 62. 5 kva dg sets installed at various location in magadh ocp,1,GM(M-S)/SO(EnM)/e-NIT/23-24/04
1286,check posts,1,GM(M-S)/SO(EnM)/e-NIT/23-24/04
1287,m-,1,GM(M-S)/SO(EnM)/e-NIT/23-24/04
1288,saradhu police picket under magadh ocp,1,GM(M-S)/SO(EnM)/e-NIT/23-24/04
1289,2 number 62. 5 kva dg sets installed at various location in magadh ocp,1,P.E. (EnM)/MAGADH OCP/e-NIT/22-23/28
1290,checkposts,1,P.E. (EnM)/MAGADH OCP/e-NIT/22-23/28
1291,including po office,1,P.E. (EnM)/MAGADH OCP/e-NIT/22-23/28
1292,saradhu police picket u,1,P.E. (EnM)/MAGADH OCP/e-NIT/22-23/28
1293,5 nos. kirloskar dg sets,1,P.E. (EnM)/MAGADH OCP/e-NIT/22-23/28
1294,fitment of dg filter parts for routine maintenance of 1 nos of mahindra dg set,1,P.E. (EnM)/MAGADH OCP/e-NIT/22-23/28
1295,maintenance of soft landscaping garden works of nh- 16 road central median from 12. 60kms. 4th town police station jn./ hp petrol jn. to 12. 90kms. gurudwara jn. ( 0. 30kms. ) for a period of one year from 01. 04. 2019 to 31. 03. 2020 ( reach- 20 ),1,"Tender Notice No.35/2018-19/EE(PL&C)/ADH/GVMC, Dt:21-02-2019(Item-18)"
1296,maintenance of soft landscaping garden works of nh- 16 road central median from 12. 60kms. 4th town police station jn./ hp petrol jn. to 12. 90kms. gurudwara jn. ( 0. 30kms. ) for a period of one year from 01. 04. 2018 to 31. 03. 2019 ( reach- 20 ),1,"34/2017-18/EE(PL&C)/ADH/GVMC, Dt. 28.02.2018(Item-7)"
1297,maintenance of soft landscaping garden works of nh- 16 road central median from 12. 00kms. akkayyapalem jn. to 12. 60kms. 4th town police station jn./ hp petrol jn. ( 0. 60kms. ) for a period of one year from 01. 04. 2018 to 31. 03. 2019 ( reach- 19 ),1,"34/2017-18/EE(PL&C)/ADH/GVMC, Dt.28.02.2018(Item-6)"
1298,maintenance of soft landscaping garden works of nh- 16 road central median from 12. 00kms. akkayyapalem jn. to 12. 60kms. 4th town police station jn./ hp petrol jn. ( 0. 60kms. ) for a period of one year from 01. 04. 2019 to 31. 03. 2020 ( reach- 19 ),1,"Tender Notice No.35/2018-19/EE(PL&C)/ADH/GVMC, Dt:21-02-2019(Item-12)"
1299,job1. ( 1 ) re- erection of 3 span 440v oh lighting line at police picket which was damaged during high wall fall,1,PO(AK)/PE(EnM)/e-NIT/23-24/75
1300,( 2 ) re- erection of 4 span 440v oh lighting line along pipe ramp of quarry- 2,1,PO(AK)/PE(EnM)/e-NIT/23-24/75
1301,( 3 ) erection of extra conductor for providing 3 phase power,1,PO(AK)/PE(EnM)/e-NIT/23-24/75
1302,providing thermoplastic road marking,1,"455/2017-18, Dt.24.5.17"
1303,sai baba temple road traffic police station to r. r tank in ongole municipalcorporation,1,"455/2017-18, Dt.24.5.17"
1304,fixing of raised pavement markers ( road studs ) with twin moulded shanks from laywerpet main road to byepass road,1,"455/2017-18, Dt.24.5.17"
1305,r. r tank to r. t. c bus stand,1,"455/2017-18, Dt.24.5.17"
1306,electric water hamam 50l,1,GEM/2025/B/5914912
1307,regt police arm band,1,GEM/2025/B/5914912
1308,red runner 3ft x 45 mtr,1,GEM/2025/B/5914912
1309,borosil glass,1,GEM/2025/B/5914912
1310,result for hair dryer phillips,1,GEM/2025/B/5914912
1311,case roll steel 10 l,1,GEM/2025/B/5914912
1312,painting for guest room,1,GEM/2025/B/5914912
1313,center carpet 10 x 8 ft,1,GEM/2025/B/5914912
1314,cold,1,GEM/2025/B/5914912
1315,thermos steel 3 l hot,1,GEM/2025/B/5914912
1316,others in amaravati government complex,1,54/MIS/Dir/Plng/4044/2016/VJA
1317,rfp for selection of architect providing comprehensive architectural design ( architecture,1,54/MIS/Dir/Plng/4044/2016/VJA
1318,chairman ( legislative council ); mla & mlc quarters; residences of chief justice,1,54/MIS/Dir/Plng/4044/2016/VJA
1319,engineering,1,54/MIS/Dir/Plng/4044/2016/VJA
1320,landscape,1,54/MIS/Dir/Plng/4044/2016/VJA
1321,chief secretary,1,54/MIS/Dir/Plng/4044/2016/VJA
1322,interiors ) of vip housing including ministers  bungalows; residences of speaker ( legislative assembly ),1,54/MIS/Dir/Plng/4044/2016/VJA
1323,director general of police; state guest house,1,54/MIS/Dir/Plng/4044/2016/VJA
1324,dpo machilipatnam premises ( 1no. ),1,A22/2016-17
1325,construction of prefab structures for ( 1no. ) sub control room of size 40  x25  at avanigadda ( near sdpo  s premises ),1,A22/2016-17
1326,( 4 nos. ) control rooms of size 30  x25  at various places viz.,1,A22/2016-17
1327,edepally police quarters premises ( 2 nos. ) of krishna district.,1,A22/2016-17
1328,challapally ps premises ( 1no. ),1,A22/2016-17
1329,police buildings dgp office,2,"NIT NO.125/SE/R&B/Elec/VJA/2017-18 Dt:19.01.2018, NIT.No.215/SE/R&B/Elec/VJA       Dated:12.01.2017"
1330,providing temporary illumination arrangements in connection with republic day celebrations 2017 to state guest house,1,NIT.No.215/SE/R&B/Elec/VJA       Dated:12.01.2017
1331,control room dgp fire buildings at vijayawada krishna district.,1,NIT.No.215/SE/R&B/Elec/VJA       Dated:12.01.2017
1332,victoria jubilee museum,2,"NIT No.141/SE/R&B/Elec/VJA/2018-19 Dt:19.01.2019, NIT.No.215/SE/R&B/Elec/VJA       Dated:12.01.2017"
1333,cm secretartiat ( camp office ),1,NIT.No.215/SE/R&B/Elec/VJA       Dated:12.01.2017
1334,sub collectors ogffice,1,NIT.No.215/SE/R&B/Elec/VJA       Dated:12.01.2017
1335,collector camp office,2,"NIT No.141/SE/R&B/Elec/VJA/2018-19 Dt:19.01.2019, NIT.No.215/SE/R&B/Elec/VJA       Dated:12.01.2017"
1336,jc bungalow,2,"NIT No.141/SE/R&B/Elec/VJA/2018-19 Dt:19.01.2019, NIT.No.215/SE/R&B/Elec/VJA       Dated:12.01.2017"
1337,r & b guest house,2,"NIT No.141/SE/R&B/Elec/VJA/2018-19 Dt:19.01.2019, NIT.No.215/SE/R&B/Elec/VJA       Dated:12.01.2017"
1338,krishna theatre from km. 0/ 0 to 3/ 7 b. krishna theatre to one town police station junction through potti sreeramulu statue junction on madras road from km. 0/ 0 to 0/ 350 in ysr district,1,"Nit No.76/TO/2018-19, Dt. 25.06.2018"
1339,seven roads,2,"Nit No.76/TO/2018-19, Dt. 25.06.2018, Nit No.48/TO/2017-18, Dt. 30.05.2017"
1340,kotireddicircle,1,"Nit No.76/TO/2018-19, Dt. 25.06.2018"
1341,maintenance of a. road from nh. 18 to km. 1/ 3 of cra road via kagithalapenta,1,"Nit No.76/TO/2018-19, Dt. 25.06.2018"
1342,providing temporary illumination arrangements in connection with republic day celebrations 2018 to state guest house collector camp office sub collectors office jc bungalow r & b guest house victoria jubilee museum cm secretariat ( camp office ),1,NIT NO.125/SE/R&B/Elec/VJA/2017-18 Dt:19.01.2018
1343,control room dgp fire buyildings at vijayawada krishna district,1,NIT NO.125/SE/R&B/Elec/VJA/2017-18 Dt:19.01.2018
1344,km 1/ 3 cra road via kagithalapenta kotireddy circle,1,"Nit No.48/TO/2017-18, Dt. 30.05.2017"
1345,maintenance of ( a ) road from nh 18,1,"Nit No.48/TO/2017-18, Dt. 30.05.2017"
1346,krishna theatre from km 0/ 0 to 3/ 7 ( b ) krishna theatre to 1 town police station junction through potti sreeramulu statue junction on madras road of ysr district for the year 2017- 18.,1,"Nit No.48/TO/2017-18, Dt. 30.05.2017"
1347,branch road to d block of hukumpeta,1,E procurement Short Term Tender Nit No 25/TO/2016-17 Dt 11.11.2016
1348,urgent repairs to nh5 to police quarters to patabommuru ( via ) kavalagoyya,1,E procurement Short Term Tender Nit No 25/TO/2016-17 Dt 11.11.2016
1349,branch road through abc blocks of satellite city from km 0/ 0 to 16/ 700 ( working reach branch road ii in km 0/ 0 to 0/ 900 ) in eg district,1,E procurement Short Term Tender Nit No 25/TO/2016-17 Dt 11.11.2016
1350,buhiyanagar pittalavani cheruvu pidimigoyya satellite city,1,E procurement Short Term Tender Nit No 25/TO/2016-17 Dt 11.11.2016
1351,hods office building at vijayawada,1,NIT No.141/SE/R&B/Elec/VJA/2018-19 Dt:19.01.2019
1352,dgp fire buildings,1,NIT No.141/SE/R&B/Elec/VJA/2018-19 Dt:19.01.2019
1353,cm secretariat ( camp office ),1,NIT No.141/SE/R&B/Elec/VJA/2018-19 Dt:19.01.2019
1354,sub collectors office,1,NIT No.141/SE/R&B/Elec/VJA/2018-19 Dt:19.01.2019
1355,providing temporary illumination arrangements in connection with republic day celebrations 2019 to state guest house,1,NIT No.141/SE/R&B/Elec/VJA/2018-19 Dt:19.01.2019
1356,dgp office,1,NIT No.141/SE/R&B/Elec/VJA/2018-19 Dt:19.01.2019
1357,krishna district,1,NIT No.141/SE/R&B/Elec/VJA/2018-19 Dt:19.01.2019
1358,control room,1,NIT No.141/SE/R&B/Elec/VJA/2018-19 Dt:19.01.2019
1359,police buildings,1,NIT No.141/SE/R&B/Elec/VJA/2018-19 Dt:19.01.2019
1360,branch road to d block of hummumpete,1,e Procurement  Tender Notice No.09/TO/2017-18(28) Dt. 05.06.2017
1361,rural roads 1. diwancheruvu narendrapuram road via velugubanda from km 0/ 0 to: 8/ 300 2. nh5 to police quarters to pathabommuru via kavalagoyya buchiyyanagar pittalavani cheruvu pidimigoyyal satellite city,1,e Procurement  Tender Notice No.09/TO/2017-18(28) Dt. 05.06.2017
1362,branch road to pidimigoyya from km 0/ 0 to 4/ 8000 in r,1,e Procurement  Tender Notice No.09/TO/2017-18(28) Dt. 05.06.2017
1363,b south section in rajamahendravaram for the year 2017 2018,1,e Procurement  Tender Notice No.09/TO/2017-18(28) Dt. 05.06.2017
1364,branch road through abc blocks of satellite city from km 0/ 0 to 16/ 700 3. bypass road rajahmundry town limits from km 0/ 0 to 1/ 495 4. srirampuram to police quarters road from km 0/ 0 to 5/ 200 5. rajahmundry kesavarami road to pidimigoyya via buchiyyanagar from km 0/ 0 to 4/ 000 6. rk road km 5/ 2 to chandranagar via pittalavanicheruvu motor bund,1,e Procurement  Tender Notice No.09/TO/2017-18(28) Dt. 05.06.2017
1365,maintenance of mdr,1,e Procurement  Tender Notice No.09/TO/2017-18(28) Dt. 05.06.2017
1366,crime,1,"142/TPT/16-17/GEN/TO,Dt.28-06-2016(2nd Call)"
1367,providing rain water harvesting pits at sub station ( near fish market ),1,"142/TPT/16-17/GEN/TO,Dt.28-06-2016(2nd Call)"
1368,west police stations,1,"142/TPT/16-17/GEN/TO,Dt.28-06-2016(2nd Call)"
1369,telugu ganga office,1,"142/TPT/16-17/GEN/TO,Dt.28-06-2016(2nd Call)"
1370,irrigation office ( old maternity hospital ),1,"142/TPT/16-17/GEN/TO,Dt.28-06-2016(2nd Call)"
1371,traffic,1,"142/TPT/16-17/GEN/TO,Dt.28-06-2016(2nd Call)"
1372,irrigation office ( s. d road ),1,"142/TPT/16-17/GEN/TO,Dt.28-06-2016(2nd Call)"
1373,ttd balamandir,1,"142/TPT/16-17/GEN/TO,Dt.28-06-2016(2nd Call)"
1374,balaji bus stand ( alipiri ),1,"142/TPT/16-17/GEN/TO,Dt.28-06-2016(2nd Call)"
1375,s. v oriental college,1,"142/TPT/16-17/GEN/TO,Dt.28-06-2016(2nd Call)"
1376,silpa college,1,"142/TPT/16-17/GEN/TO,Dt.28-06-2016(2nd Call)"
1377,income tax office guest house ( near iskon temple in tirupati town. ( reserved for sc/ st & vaddera ),1,"142/TPT/16-17/GEN/TO,Dt.28-06-2016(2nd Call)"
1378,paver block from hanumanthu house to zahirabad salauddin house at w. no- 13 c ) construction of bt road from bhadrinarayana temple via satyappa keb house to keb quarters in jawahar nagar road,1,DMA/2016-17/OW/WORK_INDENT50950
1379,l cc road from bhashir house to nasir mechanic house behind hamdard school at w. no- 11b ) construction of rcc drain near slum board,1,DMA/2016-17/OW/WORK_INDENT50950
1380,a ) construction of rcc drain,1,DMA/2016-17/OW/WORK_INDENT50950
1381,construction of rcc drain from achuthreddy house to mouneshwar police house w. no- 18,1,DMA/2016-17/OW/WORK_INDENT50950
1382,cc culvert from 1 ) seethamma house to lokesh house 2 ) house no. lig- 197 to siriki suryarao bhavan house 3 ) cc road plat no. mig- 123 to mig- 105 4 ) sirivalli house to anil babu house at bendu veedhi 5 ) anganawadi center to chinni police house at ( alakanada colony,1,"e-Proc.NIT No.927/43/E/TO/18-19, Dt.31-12-2018, S.No.64"
1383,culvert bendu veedhi ) in ward 31 under general fund 2018- 19. est cost: 20. 25 lakhs,1,"e-Proc.NIT No.927/43/E/TO/18-19, Dt.31-12-2018, S.No.64"
1384,providing cc roads,1,"e-Proc.NIT No.927/43/E/TO/18-19, Dt.31-12-2018, S.No.64"
1385,drain 1 ) i ). cc road,1,"e-Proc.NIT No.927/43/E/TO/18-19, Dt.31-12-2018, S.No.66"
1386,mig- 116 to 105 iv ) raavi chettu ending point to door. no. 1- 3/ 3- 4,1,"e-Proc.NIT No.927/43/E/TO/18-19, Dt.31-12-2018, S.No.66"
1387,cc drain anganawadi center to chinni police house at alakananda colony,1,"e-Proc.NIT No.927/43/E/TO/18-19, Dt.31-12-2018, S.No.66"
1388,bendu veedhi in ward no. 31 general fund 2018- 19. est cost: 38. 37 lakhs,1,"e-Proc.NIT No.927/43/E/TO/18-19, Dt.31-12-2018, S.No.66"
1389,cc drain church to flarance ii ) cc road elecrical pole to burial grund iii ) cc drain mig- 48 to 54,1,"e-Proc.NIT No.927/43/E/TO/18-19, Dt.31-12-2018, S.No.66"
1390,c. b colony,1,"e-Proc.NIT No.927/43/E/TO/18-19, Dt.31-12-2018, S.No.66"
1391,kothagudem from km 0. 000 to 8. 000 in krishna district,1,"NIT No: C.E (R&B), NABARD & LWE/ 162 / RR PLAN/ 2018-19, Dated: 02-01-2019 of Chief Engineer (R&B) Nabard & LWE, Vijayawada"
1392,4 ) improvements to km 6/ 6 n- e road to nalapativarikunta to tallavalli in musunuru mandal from km 2. 500 to 3. 100 in krishna district,1,"NIT No: C.E (R&B), NABARD & LWE/ 162 / RR PLAN/ 2018-19, Dated: 02-01-2019 of Chief Engineer (R&B) Nabard & LWE, Vijayawada"
1393,2 ) improvements to tummagudem to yerravarigudem ( via ) somavaram,1,"NIT No: C.E (R&B), NABARD & LWE/ 162 / RR PLAN/ 2018-19, Dated: 02-01-2019 of Chief Engineer (R&B) Nabard & LWE, Vijayawada"
1394,1 ) improvements to jangamgudem to musunuru police station road from km 0. 000 to 6. 600 in krishna district,1,"NIT No: C.E (R&B), NABARD & LWE/ 162 / RR PLAN/ 2018-19, Dated: 02-01-2019 of Chief Engineer (R&B) Nabard & LWE, Vijayawada"
1395,3 ) improvements to vissannapeta- chintalapudi road at tammileru project to buragagudem ( via ) pothanapalli from km 0. 000 to 8. 000 in krishna district,1,"NIT No: C.E (R&B), NABARD & LWE/ 162 / RR PLAN/ 2018-19, Dated: 02-01-2019 of Chief Engineer (R&B) Nabard & LWE, Vijayawada"
1396,from sayudha police vidhyanikethan ( e. m ) school to s- 3/ 264 in sap camp compound in ward no. 41 under general fund in kurnool municipal corporation.,1,"23-1/General Fund/knl/SE&EE/18-19, dt.05-09-2018"
1397,elsr tank to s- 7/ d. no. 708,1,"23-1/General Fund/knl/SE&EE/18-19, dt.05-09-2018"
1398,library to s- 4/ d. no. 300,1,"23-1/General Fund/knl/SE&EE/18-19, dt.05-09-2018"
1399,d. no. s- 4/ 372 to 300,1,"23-1/General Fund/knl/SE&EE/18-19, dt.05-09-2018"
1400,d. no. s- 6/ 589 to s- 7/ 625,1,"23-1/General Fund/knl/SE&EE/18-19, dt.05-09-2018"
1401,providing of cc road from d. no. s- 7/ 601 to 612. d. no. s- 7/ 742 to 765,1,"23-1/General Fund/knl/SE&EE/18-19, dt.05-09-2018"
1402,d. no. s- 7/ 625 to s- 7/ 708,1,"23-1/General Fund/knl/SE&EE/18-19, dt.05-09-2018"
1403,d. no. s- 3/ 264 to s- 6- 589,1,"23-1/General Fund/knl/SE&EE/18-19, dt.05-09-2018"
1404,d. no. s- 8/ 765 to s- 4/ 372,1,"23-1/General Fund/knl/SE&EE/18-19, dt.05-09-2018"
